date_creat,titre,titre_court,objet,adrs_libcommune,adrg_libvoie,adrg_codepostal,siteweb
2011-10-31,LEZARD DU TAO,LEZARD DU TAO,"initiation et perfectionnement à la pratique du Do-In et Qi Gong, et ultérieurement Tai chi chuan ; ce sont des pratiques relatives aux gymnastiques de prévention de la santé, pouvant être associé à d'autres cours plus théoriques, en lien avec les principes fondamentaux de la médecine traditionnelle chinoise dont sont issus ces disciplines",Embrun,1 RUE DES ROCHASSONS,05200,www.lezardutao.fr
2010-06-02,ÉCOLE LONG HÉ FÈNGHUANG WUSHU,ECOLE LONG HE FENGHUANG WUSHU,"par l'enseignement des connaissances théoriques et pratiques des arts martiaux chinois, faire connaître les bienfaits de l'étude de kung fu wushu dans notre société d'aujourd'hui ; l'association fait découvrir aussi bien le coté sportif (pratique du kung fu wushu moderne et traditionnel avec participation aux compétitions fédérales de kung fu wushu pour ceux qui le souhaitent ) que le coté bien-être (étude du tai ji quan et du qi gong, travail de l'énergie interne, dans le but de s'adapter aux situations de la vie de tous les jours et de rester en bonne santé) ; l'association prévoit l'organisation de stages, soirées à thèmes, participation à des démonstrations , voyages en Asie et activités sports de nature",La Garde,165 CHEMIN DE SAINTE CHRISTINE,83210.0,http://www.ecole-kungfu-wuqidao.sitew.com/#ACCUEIL.A
2016-04-15,CLUB ARTS MARTIAUX VALBONNE,CAMV,"pratique arts martiaux chinois (kung-fu, wushu, taijiquan)",Valbonne,1711  route DE CANNES,6560.0,http://kungfuwushu.org/
2017-04-26,ASSOCIATION SPORTIVE  WUSHU SHAOLIN,WUSHU SHAOLIN,"enseignement de la pratique des arts martiaux d'origine chinoise : Wushu Traditionnel (Shaolin) , Wushu Moderne, Qi-Gong, Taïji, Sanda ;",Gattières,CHEMIN DES OEILLETS,6510.0,http://www.wushushaolin.org
2018-02-23,CYCLOTROPE,CYCLOTROPE,"a pour objet : d'encourager la pratique du vélo au quotidien et d'ouvrir les esprits sur le monde des possibles offert par la bicyclette ; ses moyens d'action sont : militer pour la pratique du vélo au quotidien ; animer des actions vélo-école, auprès de différents publics ; créer et utiliser des machines dérivées du vélo ; recycler, récupérer et transformer des vélos ; animer des ateliers d'auto-réparation ; mener des actions de sensibilisation, d'information et de formation ; réaliser des créations artistiques en lien avec la bicyclette",Nice,12 RUE DE LA SUISSE,6000.0,https://cyclotrope.net/
2021-09-14,PANDA EXPERIENCE,PANDA EXPERIENCE,"enseigner et développer la pratique du Qi Gong, du Tai Chi Chuan ainsi que d'autres disciplines de la Médecine Traditionnelle Chinoise ;",Spéracèdes,24  CHEMIN DE LA MOLIERE,6530.0,https://www.navyahealing.com/
2003-08-30,ASSOCIATION TAI CHI CHUAN ET QI GONG HSIAO MING,ASSOCIATION TAI CHI CHUAN ET QI GON...,pratique de tai-chi-chuan et qigong (art martial interne chinois) ; mouvements énergétiques ; mouvements d'assouplissement et énergétiques,Nice,95 IMPASSE DE CESSOLE,6100.0,https://taichichuan-qigong.org/
2008-05-05,VOL MONTAGNE 06 - VM06,NICOLAS DIZIER,"promouvoir, faciliter, organiser et développer la pratique des activités aéronautiques ; permettre à ses membres la découverte et l'initiation aéronautique, la pratique de l'aviation notamment le vol en montagne et des différentes activités s'y rattachant ; formation de pilotes, entraînement, voyage et instruction technique nécessaires, tant à l'aide de moyens privés que de moyens d'Etat, à effet de développer l'aviation générale ; organisation de cours liés à la pratique ou simplement à la connaissance de l'aéronautique ; promotion des possibilités de l'aéronautique ; acquisition ou location de toute machine volante pour mise à la disposition collective ou individuelle des membres de l'association ; acquisition ou location de tout matériel pédagogique ou d'entraînement pour l'objet ; d'une façon générale, partager entre ses membres les ressources et les dépenses ayant trait à l'achat et au fonctionnement des moyens que l'association met à leur disposition",Nice,185  Avenue DE PESSICART,6100.0,www.volmontagne06.com
2012-05-31,ASSOCIATION WORLD DAI JI DO COUNCIL,ASSOCIATION WORLD DAI JI DO COUNCIL,"pratique des arts martiaux et sports de combat sous toutes leurs formes et en particulier : l'initiation, l'entraînement, la compétition, le perfectionnement et la formation des cadres à la pratique du Dai Ji Do (Da Ji Dao en chinois) qui signifie ""voie suprême du combat simultané"" appelé également ""simultaneous combat system (S.C.S)"" créé par Maître André Wenas, professeur diplômé d'état 2ème degré (BEES 2) n° 013 03 0428 d'arts martiaux chinois (kung-fu) à la fédération française de karaté et disciplines associées",Nice,182  avenue de la Californie,6200.0,http://www.kung-fu-wushu-nice.com
2012-08-22,LA TORTUE NOIRE DU MERCANTOUR,LA TORTUE NOIRE,"promouvoir des activités qui permettent de dépenser et de canaliser son énergie ou de se régénérer, fournir aux adhérents un accès facilité à des cours, des services et des stages ; les disciplines dans le pôle régénération seront dans l'axe des disciplines chinoises, avec par exemple du shiatsu, du Qi Gong ; celles du pôle dépense et canalisation seront par exemple du Tai-Chi, du Kung-Fu ; la tortue noire symbolisant dans la mythologie chinoise les hautes montagnes lointaines, des activités de montagnes seront aussi proposées",Valdeblore,RUE DU PRESBYTERE,6420.0,http://tortuenoirmercantour.free.fr
2016-06-17,ACADEMIE DES 7 VERTUS,ACADEMIE DES 7 VERTUS,"la pratique des arts énergétiques et martiaux, self défense daijido, iaido (voie du sabre) kung-fu wushu, boxe chinoise sous toutes leurs formes ainsi que la pratique du taichi chuan (taijiquan) ou gymnastique énergétique chinoise",Nice,2  rue Louis Roubaudi,6100.0,www.kung-fu-wushu-nice.com
2017-05-10,INSTITUT CONFUCIUS CÔTE D'AZUR (ICCA),ICCA,"la diffusion et la promotion de la culture et de la langue chinoise sur la Côte d'Azur ; l'association peut organiser et dispenser des enseignements de la langue chinoise, ainsi que des activités culturelles à l'instar de la calligraphie, la musique, le cinéma, des expositions pour lesquelles elle peut fixer un tarif de participation ; elle a vocation à favoriser les contacts et les échanges avec la Chine notamment par des enseignements du chinois et des activités culturelles chinoises ; elle peut aussi organiser des colloques, conférences et autres activités culturelles chinoises ponctuelles, et d'une manière générale exercer toute autre activité en rapport avec son objet ; ces missions s'exercent dans le respect des accords de partenariat conclus avec les partenaires institutionnels et des accords ou conventions de coopération conclus notamment avec la direction générale chinoise des instituts Confucius (dgcic) et l'université partenaire, l'université de Tianjin",Nice,98  BOULEVARD EDOUARD HERRIOT,6200.0,www.confucius-cotedazur.fr
2009-04-16,YANG SHENG FA,YANG SHENG FA,"enseigner les philosophies et pratiques de la médecine traditionnelle chinoise ainsi que toutes ses différentes disciplines (acupuncture, gi gong, tuina, tai ji, digitopuncture, réflexothérapie, auriculothérapie, etc...)",Charantonnay,651  AVENUE DU DAUPHINé,38790,http//www.yangshengfa.fr/pages/yang-sheng-fa
2019-04-29,ASSOCIATION SPORTIVE DU VIVARAIS DRAGON BLANC ET LOTUS NOIR,AS.VDB.LN,"favoriser, organiser et promouvoir en son sein la pratique des activités physiques, sportives ou artistiques, en lien avec la culture chinoise ; organiser des rencontres ou manifestations ou formations sportives, artistiques ou culturelles en lien avec l'objet précédent ou avec les éventuelles fédérations nationales d'affiliation, et inciter les membres de l'association à participer aux activités de ces fédérations ; promouvoir un équilibre des pratiques en son sein, du loisir au haut niveau en passant par le sport santé ; promouvoir en son sein un esprit de responsabilité lié à la vie associative",Villeneuve-de-Berg,52  RUE DE CHARBONNIER,7170,http://asvdbln.free.fr
2022-06-20,FRANCE SERVICES ORGANISATIONS ET SOUTIENS - FRANCE SOS,FRANCE SOS,"venir en soutien aux personnes, associations, artisans, entrepreneurs, sociétés en mettant en place des services à la personne, d'accompagnement, d'organisation, de soutien et de formation ; rénovation, entretien et réparation de tous types de mécaniques ; prêt, vente et location de matériels aux particuliers et professionnels ; formation à la mécanique des différentes machineries ; formation sur la prévention des risques à la personne, incendie et secourisme ; ateliers participatifs ; aide solidaire à domicile et/ou sur site",Saint-Étienne-de-Fontbellon,1070 ROUTE D'ALÈS,7200,https://www.france-sos.fr
2019-06-19,ARTS MARTIAUX CHINOIS PEAUGRES,AMC PEAUGRES,enseignement et pratique d'arts martiaux,Peaugres,"422 ROUTE DE GRANGE SEUX, GRANGE SEUX",7430,https://kungfuannonaypeaug.wixsite.com/kung-fu
2019-06-19,ARTS MARTIAUX CHINOIS ANNONAY,AMC ANNONAY,enseignement de pratique d'arts martiaux,Vernosc-lès-Annonay,"422 ROUTE DE GRANGE SEUX,",7430,https://kungfuannonaypeaug.wixsite.com/kung-fu
2021-04-20,CLAIRE PILATES,CLAIRE PILATES,"promouvoir, développer ou organiser des activités de bien-être et de remise en forme telles que Pilates tapis et petits matériels, rose Pilates et Pilates machine",Sarras,85  RUE DES VORGEES,7370,http://clairepilates.com
